Hráefni,Flokkur (prótein / kolvetni / grænmeti‐ávextir),Verð (kr.) / 100 g,Vegan,Orka (kcal) / 100 g,Prótein (g) / 100 g,Kolvetni (g) / 100 g,Fita (g) / 100 g,Trefjar (g) / 100 g,A-vítamín (µg), einkunn
Ananas,Grænmeti-ávextir,39,Já,50,0.5,13,0.1,1.35,0,2
Appelsínur,Grænmeti-ávextir,37,Já,56,0.9,10.8,0.6,1.6,0,6
Aspas,Grænmeti-ávextir,255,Já,28,2,3.5,0.3,1.5,0,6
Avókadó,Grænmeti-ávextir,130,Já,167,2,9,15,7,7,7
banana,Grænmeti-ávextir,32,Já,89,1,23,0,2.6,64,4
Bankabygg,Kolvetni,68,Já,338,11,64,2,10,0,2
Beikon,Prótein,299,Nei,335,14,0,31,0,0,8
Beyglur,Kolvetni,97,Já,270,9.7,47.8,3.5,2.7,0,5
BIOTech USA próteinduft,Prótein,499,Nei,381,73,6.1,6.5,0,0,1
Bláber ,Grænmeti-ávextir,200,Já,57,0.7,14.5,0.3,2.4,54,3
Bleikja,Prótein,489,Nei,185,16.5,7.7,8.2,0,0,9
Blómkál,Grænmeti-ávextir,59,Já,24,2,1.8,0.4,2.6,2.5,8
Brokkolí,Grænmeti-ávextir,70,Já,34,3,2,0.4,3.3,623,8
Döðlur,Grænmeti-ávextir,139,Já,295,3.3,68,0.2,4,7,4
Egg,Prótein,105,Nei,138,13.2,0,9.5,0,294,7
eggjahvítur,Prótein,110,Nei,46,10,1.2,0,0,0,5
Eggjarauður,Prótein,165,Nei,284,15,2,24,0,63.07,5
Epli,Grænmeti-ávextir,33,Já,52,0.3,14,0.2,2.4,3,6
Fiskibollur,Prótein,176,Nei,153,10.4,21.4,2.9,0,0,9
Fiskur (þorskur),Prótein,400,Nei,78,18.1,0,0.5,0,0,9
Flatkökur,Kolvetni,155,Já,231,6.2,43.3,2.4,2.4,0,5
Góðostur,Prótein,234,Nei,330,25,0,26,0,249,6
Grænar baunir,Kolvetni,54,Já,120,7,19.7,0.8,0,0,4
Grísk jógúrt,Prótein,466,Nei,129,7.8,3.7,9.2,0,0,4
Gulrætur,Grænmeti-ávextir,100,Já,41,0.9,9.6,0.2,2.8,852,7
