Heiti hráefnis,Flokkur (prótein / kolvetni / grænmeti‐ávextir),Verð (kr.) / 100 g,Vegan,Orka (kcal) / 100 g,Prótein (g) / 100 g,Kolvetni (g) / 100 g,Fita (g) / 100 g,Trefjar (g) / 100 g,A-vítamín (µg)
Kjúklingabringur,Prótein,260,Nei,105,23,0,1.2,0,0
Tófú,Prótein,76,Já,76,8,1.9,4.8,0.3,0
Egg,Prótein,105,Nei,138,13.2,0,9.5,0,294
Rauðar nýrnabaunir,Prótein,56,Já,127,8.7,22.8,0.5,7.4,0
Fiskur (þorskur),Prótein,400,Nei,78,18.1,0,0.5,0,0
eggjahvítur,Prótein,110,Nei,46,10,1.2,0,0,0
Lax,Prótein,396,Nei,,,,,,
Eggjarauður,prótein,165,Nei,284,15,2,24,0,63.07
banana,Grænmeti‐ávextir,32,Já,89,1,23,0,2.6,64
Nautalund,Prótein,480,Nei,134,20,0,6,0,2.5
Kartöflur,Kolvetni,56,Já,77,2,17,0.1,2.2,1
Hrísgrjón (soðin),Kolvetni,36,Já,97,2,21,0.2,0.4,0
Pasta (soðið),Kolvetni,92,Já,131,5,25,1,1.2,0
Heilhveitibrauð,Kolvetni,129,Já,247,8.5,45,1.5,6,0
Linsubaunir,Kolvetni,,Já,,,,,,
Haframjöl,Kolvetni,100024,Já,366,12.5,61,7,10,0
Heilhveiti fusilli pasta,Kolvetni,80,Já,333,12,62,2.5,7,1
Gúrka,Grænmeti‐ávextir,,Já,,,,,,
Brokkolí,Grænmeti‐ávextir,70,Já,34,3,2,0.4,3.3,623
Gulrætur,Grænmeti‐ávextir,100,Já,41,0.9,9.6,0.2,2.8,852
Tómatar,Grænmeti‐ávextir,40,Já,18,0.9,3.9,0.2,1.2,42
Epli,Grænmeti‐ávextir,33,Já,52,0.3,14,0.2,2.4,3
Spínat,Grænmeti‐ávextir,475,Já,23,2.9,3.6,0.4,2.2,469
Avókadó,Grænmeti‐ávextir,130,Já,167,2,9,15,7,7
Blómkál,Grænmeti‐ávextir,59,Já,24,2,1.8,0.4,2.6,2.5
Aspas,Grænmeti‐ávextir,255,Já,28,2,3.5,0.3,1.5,0
