Hráefni,Flokkur (prótein / kolvetni / grænmeti‐ávextir),Verð (kr.) / 100 g,Vegan,Orka (kcal) / 100 g,Prótein (g) / 100 g,Kolvetni (g) / 100 g,Fita (g) / 100 g,Trefjar (g) / 100 g,A-vítamín (µg)
Ananas,Grænmeti-ávextir,39.0,Já,50.0,0.5,13.0,0.1,1.35,0.0
Appelsínur,Grænmeti-ávextir,37.0,Já,56.0,0.9,10.8,0.6,1.6,0.0
Aspas,Grænmeti-ávextir,255.0,Já,28.0,2.0,3.5,0.3,1.5,0.0
Avókadó,Grænmeti-ávextir,130.0,Já,167.0,2.0,9.0,15.0,7.0,7.0
Banana,Grænmeti-ávextir,32.0,Já,89.0,1.0,23.0,0.0,2.6,64.0
Bláber,Grænmeti-ávextir,200.0,Já,57.0,0.7,14.5,0.3,2.4,54.0
Blómkál,Grænmeti-ávextir,59.0,Já,24.0,2.0,1.8,0.4,2.6,2.5
Brokkolí,Grænmeti-ávextir,70.0,Já,34.0,3.0,2.0,0.4,3.3,623.0
Döðlur,Grænmeti-ávextir,139.0,Já,295.0,3.3,68.0,0.2,4.0,7.0
Epli,Grænmeti-ávextir,33.0,Já,52.0,0.3,14.0,0.2,2.4,3.0
Gulrætur,Grænmeti-ávextir,100.0,Já,41.0,0.9,9.6,0.2,2.8,852.0
Jarðarber,Grænmeti-ávextir,350.0,Já,32.0,1.5,4.8,0.6,1.6,6.6
Jarðhnetur ,Grænmeti-ávextir,156.0,Já,567.0,26.0,16.0,49.0,8.5,0.0
Kiwi,Grænmeti-ávextir,89.0,Já,61.0,1.1,10.6,0.5,0.0,26.0
Laukur,Grænmeti-ávextir,66.0,Já,46.0,1.6,8.1,0.3,1.9,0.0
Mangó,Grænmeti-ávextir,659.0,Já,60.0,0.82,14.98,0.092,1.63,38.0
Papaya,Grænmeti-ávextir,153.0,Já,43.0,0.6,9.8,0.1,1.8,0.0
Paprika rauð,Grænmeti-ávextir,78.0,Já,29.0,1.2,5.4,0.2,2.3,212.0
Pastasósa classic,Grænmeti-ávextir,120.0,Já,52.0,2.6,5.5,1.7,0.0,0.0
Pera,Grænmeti-ávextir,46.0,Já,55.0,0.3,11.0,0.3,2.8,11.0
Rauðlaukur,Grænmeti-ávextir,19.9,Já,36.3,1.1,9.3,0.1,1.7,0.0
Sítróna,Grænmeti-ávextir,48.0,Já,24.0,1.1,4.1,0.3,5.2,1.0
Spínat,Grænmeti-ávextir,475.0,Já,23.0,2.9,3.6,0.4,2.2,469.0
Sveppir,Grænmeti-ávextir,194.0,Já,22.0,2.3,1.9,0.3,1.7,0.0
Tómatar,Grænmeti-ávextir,40.0,Já,18.0,0.9,3.9,0.2,1.2,42.0
Vatnsmelóna,Grænmeti-ávextir,34.0,Já,30.0,0.6,7.6,0.2,0.4,569.0
Bankabygg,Kolvetni,68.0,Já,338.0,11.0,64.0,2.0,10.0,0.0
Beyglur,Kolvetni,97.0,Já,270.0,9.7,47.8,3.5,2.7,0.0
Flatkökur,Kolvetni,155.0,Já,231.0,6.2,43.3,2.4,2.4,0.0
Grænar baunir,Kolvetni,54.0,Já,120.0,7.0,19.7,0.8,0.0,0.0
