Person,Credit_Balance,Status
sks36,0.0,No credit
manib,0.0,No credit
aau2,0.0,No credit
asg104,0.0,No credit
ahg38,0.0,No credit
bjb83,0.0,No credit
boh29,0.0,No credit
bhs24,-1.0,Owes future item
bts5,0.0,No credit
bam15,0.0,No credit
dii3,0.0,No credit
daa41,0.0,No credit
egg30,0.0,No credit
eip8,0.0,No credit
erg62,0.0,No credit
fah21,0.0,No credit
gmt5,0.0,No credit
ghb16,0.0,No credit
haa82,1.0,Has promise for future item
hog42,0.0,No credit
hmi6,1.0,Has promise for future item
hpr2,0.0,No credit
hsh65,-1.0,Owes future item
iit2,0.0,No credit
ibe15,0.0,No credit
iaa10,1.0,Has promise for future item
isn3,0.0,No credit
iad3,0.0,No credit
jks29,0.0,No credit
jre5,-1.0,Owes future item
kak84,-1.0,Owes future item
ltj2,0.0,No credit
mdj5,0.0,No credit
oat4,0.0,No credit
otf2,0.0,No credit
pmj5,0.0,No credit
srs72,0.0,No credit
sml11,0.0,No credit
ssg55,0.0,No credit
sbm13,0.0,No credit
smb26,0.0,No credit
slg40,0.0,No credit
sta34,1.0,Has promise for future item
trr14,0.0,No credit
vab25,0.0,No credit
veo6,0.0,No credit
vme2,0.0,No credit
vob7,-1.0,Owes future item
taa9,1.0,Has promise for future item
82,0.0,No credit
,0.0,No credit
