Giver,Receiver,Item
sks36,hog42,hvítur monster
manib,trr14,góð bók
aau2,kak84,Sími
asg104,vob7,Golfkúla
bjb83,ltj2,Áfengi
boh29,vab25,Stílabók
bts5,jre5,Tússpenni
bam15,isn3,Nicotine
egg30,bhs24,Pera
eip8,bjb83,Fjörmjólk
erg62,eip8,Penni
fah21,asg104,Klósettpappír
gmt5,sks36,Tannbursti
ghb16,bts5,Collab
haa82,hsh65,Gull
hog42,slg40,Powerade
hmi6,aau2,Tannkrem
hpr2,srs72,Bjór
iaa10,erg62,sleikjó
isn3,oat4,Tölva
iad3,jks29,Bíll
jks29,pmj5,skyr
ltj2,mdj5,Súkkulaði
mdj5,egg30,nocco
oat4,vme2,Pennaveski
otf2,iad3,Banani
pmj5,smb26,Collab
srs72,gmt5,kaffi
smb26,otf2,Næring +
slg40,ghb16,Kókómjólk
sta34,fah21,Brauð
trr14,manib,Crazy frogs
vab25,boh29,appelsínusafi
vme2,hpr2,kjúklingur
taa9,bam15,Tyggjó
