Person,Received_Item,From_Person,Status
sks36,Tannbursti,gmt5,Received item
manib,Crazy frogs,trr14,Received item
aau2,Tannkrem,hmi6,Received item
asg104,Klósettpappír,fah21,Received item
ahg38,,,Did not receive item
bjb83,Fjörmjólk,eip8,Received item
boh29,appelsínusafi,vab25,Received item
bhs24,Pera,egg30,Received item
bts5,Collab,ghb16,Received item
bam15,Tyggjó,taa9,Received item
dii3,,,Did not receive item
daa41,,,Did not receive item
egg30,nocco,mdj5,Received item
eip8,Penni,erg62,Received item
erg62,sleikjó,iaa10,Received item
fah21,Brauð,sta34,Received item
gmt5,kaffi,srs72,Received item
ghb16,Kókómjólk,slg40,Received item
haa82,,,Did not receive item
hog42,hvítur monster,sks36,Received item
hmi6,,,Did not receive item
hpr2,kjúklingur,vme2,Received item
hsh65,Gull,haa82,Received item
iit2,,,Did not receive item
ibe15,,,Did not receive item
iaa10,,,Did not receive item
isn3,Nicotine,bam15,Received item
iad3,Banani,otf2,Received item
jks29,Bíll,iad3,Received item
jre5,Tússpenni,bts5,Received item
kak84,Sími,aau2,Received item
ltj2,Áfengi,bjb83,Received item
mdj5,Súkkulaði,ltj2,Received item
oat4,Tölva,isn3,Received item
otf2,Næring +,smb26,Received item
pmj5,skyr,jks29,Received item
srs72,Bjór,hpr2,Received item
sml11,,,Did not receive item
ssg55,,,Did not receive item
sbm13,,,Did not receive item
smb26,Collab,pmj5,Received item
slg40,Powerade,hog42,Received item
sta34,,,Did not receive item
trr14,góð bók,manib,Received item
vab25,Stílabók,boh29,Received item
veo6,,,Did not receive item
vme2,Pennaveski,oat4,Received item
vob7,Golfkúla,asg104,Received item
taa9,,,Did not receive item
82,,,Did not receive item
,,,Did not receive item
