Giver,Receiver,Item
sks36,haa82,hvítur monster
manib,bjb83,góð bók
aau2,fah21,sími
asg104,boh29,Golfkúla
bjb83,pmj5,Áfengi
boh29,vab25,Stílabók
bhs24,egg30,Popp
egg30,mdj5,Nautakjöt
eip8,ghb16,Fjörmjólk
fah21,ssg55,Klósettpappír
gmt5,srs72,Tannbursti
ghb16,slg40,Collab
hpr2,manib,Bjór
isn3,bam15,Tölva
iad3,otf2,Bíll
jks29,iad3,skyr
jre5,bts5,Cadbury Creme Egg
ltj2,trr14,Súkkulaði
mdj5,ltj2,nocco
oat4,isn3,Sjónvarp
otf2,asg104,Banani
pmj5,vme2,Vatn
srs72,hpr2,kaffi
sbm13,sks36,Kartöflur
slg40,gmt5,Kókómjólk
sta34,sml11,Brauð
trr14,sbm13,Crazy frogs
vab25,jks29,appelsínusafi
vme2,oat4,kjúklingur
